Customer_ID,Product_ID,Estimated_Rating
CUST_MXLOJN,PROD_9IF2EV,109.92076533333334
CUST_QOWUAQ,PROD_9279EC,109.92076533333334
CUST_40JHOX,PROD_8JDCZ5,109.92076533333334
CUST_AOAGQ3,PROD_OZTPGQ,109.92076533333334
CUST_AA2D3O,PROD_70ZNQ9,109.92076533333334
CUST_IWI2AO,PROD_86HBZ7,109.92076533333334
CUST_CP9S2B,PROD_9H2LJB,109.92076533333334
CUST_XJCIP7,PROD_7EATV7,109.92076533333334
CUST_9SIS1B,PROD_SAT0O2,109.92076533333334
CUST_UCP294,PROD_N8XR9G,109.92076533333334
CUST_FVT62X,PROD_JRRHCS,109.92076533333334
CUST_PLH4X1,PROD_DY6BZW,109.92076533333334
CUST_Z7FFXT,PROD_WVXR2V,109.92076533333334
CUST_FBHQE2,PROD_IM3FTV,109.92076533333334
CUST_A9E2CM,PROD_O5YSMG,109.92076533333334
CUST_9JJ562,PROD_WJZVYR,109.92076533333334
CUST_Y7OPL9,PROD_7GVOBT,109.92076533333334
CUST_E5IEKQ,PROD_CBVXJR,109.92076533333334
CUST_RC2FOD,PROD_QJFP9V,109.92076533333334
CUST_XIEAGE,PROD_I2BZ8B,109.92076533333334
CUST_AQQE5T,PROD_QGDLOS,109.92076533333334
CUST_WOTHNG,PROD_NT8KHM,109.92076533333334
CUST_9LJWU0,PROD_UJY1NS,109.92076533333334
CUST_QSBR0S,PROD_6FNG0S,109.92076533333334
CUST_CHOCKJ,PROD_J61BS7,109.92076533333334
CUST_W4HIPP,PROD_O4HS1C,109.92076533333334
CUST_IMTJAN,PROD_P1TG04,109.92076533333334
CUST_7UOY43,PROD_YS1RCG,109.92076533333334
CUST_AXFVPG,PROD_SH4W7P,109.92076533333334
CUST_7POKTJ,PROD_KFCNCM,109.92076533333334
CUST_ORR8IP,PROD_Z44K09,109.92076533333334
CUST_9FD80S,PROD_UFGN2P,109.92076533333334
CUST_KW7TOP,PROD_9YJXM9,109.92076533333334
CUST_PGTU4A,PROD_Y3OYV1,109.92076533333334
CUST_MWTITD,PROD_ASWNZE,109.92076533333334
CUST_H7GRVK,PROD_X7RSES,109.92076533333334
CUST_RRVH66,PROD_0L6U8K,109.92076533333334
