ds,yhat,yhat_lower,yhat_upper
2023-01-01,110.78416616437364,39.46162457333743,179.6890926626472
2023-01-02,109.58437396383789,45.572078647305204,174.01000128037975
2023-01-03,105.50029399652611,37.610072488661466,175.01080592198366
2023-01-04,109.69704593621898,43.57894680342969,175.39701387048362
2023-01-05,110.63724076503401,42.423479133794025,174.90023289914117
2023-01-06,108.67640737408867,40.850089005291714,172.6148471476016
2023-01-07,109.22069349315225,40.538061205182174,174.89389974542843
2023-01-08,110.82944787545368,45.60828698106877,178.7963538588439
2023-01-09,109.62965567491206,48.72539135397139,175.47290371310316
2023-01-10,105.54557570760409,38.485159815158774,171.22290808591654
2023-01-11,109.74232764727901,42.65431739182471,176.29319144990498
2023-01-12,110.68252247611572,48.066044623459725,174.4461969768721
2023-01-13,108.72168912745875,34.488686418925575,174.320390932165
2023-01-14,109.26597528880879,40.154636350105946,173.2025560872467
2023-01-15,110.87472971340227,45.71957294460736,180.28416968759373
2023-01-16,109.67493755516476,41.616701823339355,174.7402106077778
2023-01-17,105.5908576301342,40.18036622704453,172.04677804248567
2023-01-18,109.78760961210253,47.03987008062614,174.7411981063384
2023-01-19,110.72780448322347,44.54561414683688,176.58443974065005
2023-01-20,108.76697113456791,45.41365450754044,178.82595912829842
2023-01-21,109.31125729592871,42.149386185516,178.3109543582671
2023-01-22,110.92001172051373,46.55765833825954,177.19242369149876
2023-01-23,109.72021956227552,41.755292734369,176.96298366900461
2023-01-24,105.63613964094668,38.99334020993378,165.63434220316242
2023-01-25,109.83289162662149,47.00626754106167,175.2129306529231
2023-01-26,110.77308650143846,41.51027391407348,178.82518809168084
2023-01-27,108.81225315649468,38.420731121797914,171.79213382563722
2023-01-28,109.35653932153252,43.655101652905316,173.03502635719101
2023-01-29,110.96529374983068,43.04619857730008,173.7150498998829
2023-01-30,109.76550159528948,45.51841070041068,176.50262577216031
2023-01-31,105.68142167396532,37.803334690678575,176.02231285297404
2023-02-01,109.8781736596258,43.9828844977488,179.62170722852767
2023-02-02,110.81836853445712,47.291320952983035,178.0328834435505
2023-02-03,108.85753518950503,42.613546858232745,170.25195520708988
2023-02-04,109.40182135455882,47.00776790558649,182.3793735383461
2023-02-05,111.0105758392128,39.09971049436691,178.93441359745907
2023-02-06,109.81078374102643,48.744823961183144,181.83276828368395
2023-02-07,105.72670387606446,36.38273116582546,176.38513210710852
2023-02-08,109.92345591809215,41.71578446399586,174.4029646131205
2023-02-09,110.86365084927925,44.79466105737085,174.4215552565924
2023-02-10,108.90281756069,42.32987806783147,176.1132132291407
2023-02-11,109.44710378210029,41.38147852035872,175.1826797803324
2023-02-12,111.05585826675373,44.59270071917392,180.1510500670778
2023-02-13,109.8560661685669,43.90096607905347,174.55089730853138
